movie_title,show_name,media_type,popularity,vote_average,vote_count
Black Phone 2,N/A,movie,246.4788,7.1,214
N/A,The Manipulated,tv,8.1334,0.0,0
Predator: Badlands,N/A,movie,109.8495,5.8,19
The Smashing Machine,N/A,movie,46.6028,6.333,105
xXx,N/A,movie,118.5246,5.965,4617
The Rats: A Witcher Tale,N/A,movie,121.6171,5.011,44
The Fantastic 4: First Steps,N/A,movie,107.7205,7.1,2144
N/A,All's Fair,tv,32.7956,3.176,17
N/A,Heweliusz,tv,3.6801,6.0,1
N/A,The QUEEN of News,tv,7.0605,8.2,13
N/A,Nice to Not Meet You,tv,34.8656,6.0,1
Icefall,N/A,movie,10.2348,5.7,5
Tyler Perry's Finding Joy,N/A,movie,4.416,0.0,0
Bugonia,N/A,movie,53.5018,7.8,203
Frankenstein,N/A,movie,62.4731,7.9,83
N/A,IT: Welcome to Derry,tv,453.6257,7.919,258
N/A,The Witcher,tv,360.5409,8.0,6348
N/A,Robin Hood,tv,86.6179,8.5,24
N/A,Stranger Things,tv,207.8026,8.593,18901
Safe House,N/A,movie,22.9732,8.6,7
